name,affil,last
Courtney Peck,National Solar Observatory,Peck
Greg Perugini,University of Southern Queensland,Perugini
Dawn Peterson,Space Science Institute,Peterson
Pascal Petit,Observatoire Midi-Pyrénées,Petit
David Philipp,Harvard-Smithsonian CfA,Philipp
Mark Phillips,University of Exeter,Phillips
J. Sebastian Pineda,CU Boulder – LASP,Pineda
Geisa Ponte,OV-UFRJ (Brazil),Ponte
Mark Popinchalk,CUNY Graduate Center,Popinchalk
Katja Poppenhaeger,Queen's University Belfast,Poppenhaeger
Diana Powell,UC Santa Cruz,Powell
Jane Pratt,Georgia State University,Pratt
David Principe,MIT,Principe
Kristina Punzi,Rochester Institute of Technology & Wellesley College,Punzi
Sam Quinn,Harvard-Smithsonian CfA,Quinn
Luis Henry Quiroga-Nunez,Leiden Observatory / JIVE,Quiroga-Nunez
Andreas Quirrenbach,Landessternwarte,Quirrenbach
Ben Rackham,University of Arizona,Rackham
Jacqueline Radigan,,Radigan
Stefanie Raetz,Institute for Astronomy and Astrophysics IAAT Tuebingen,Raetz
Manuela Raimbault,Observatoire de Genève,Raimbault
Adam Rains,Australian National University,Rains
Rayna Rampalli,Columbia University,Rampalli
Mark Rast,University of Colorado,Rast
Luisa Rebull,Caltech-IPAC/IRSA,Rebull
Jon Rees,UC San Diego,Rees
Ansgar Reiners,Institut für Astrophysik Göttingen,Reiners
Timo Reinhold,"Max Planck Institute for Solar System Research, Goettingen, Germany",Reinhold
Megan Reiter,University of Michigan,Reiter
Céline Reylé,Besançon Observatory,Reyl\'e
Emily Rice,"CUNY,  AMNH",Rice
Tyler Richey-Yowell,Arizona State University,Richey-Yowell
George Ricker,MIT,Ricker
Emily Rickman,University of Geneva,Rickman
Anneliese Rilinger,Boston University,Rilinger
Connor Robinson,Boston University,Robinson
Jan Robrade,Hamburger Sternwarte,Robrade
Veronica Roccatagliata,INAF/Observatorio Astofiscio di Arcetri,Roccatagliata
Laetitia Rodet,"CNRS, IPAG, Grenoble, France",Rodet
Joey Rodriguez,Harvard-Smithsonian CfA,Rodriguez
Rachael Roettenbacher,Stockholm University,Roettenbacher
Javier Olivares Romero,LABORATOIRE DASTROPHYSIQUE DE BORDEAUX,Romero
Robert Rosner,University of Chicago,Rosner
Benjamin Roulston,Boston University,Roulston
Sarah Rugheimer,University of St. Andrews,Rugheimer
Steven Saar,SAO,Saar
Laurence Sabin,"Institute of Astronomy, UNAM",Sabin
Germano Sacco,INAF-Osservatorio Astrofisico di Arcetri,Sacco
Jennifer van Saders,"IfA, University of Hawaii",Saders
Sheila Sagear,Boston University,Sagear
Felix Sainsbury-Martinez,University of Exeter,Sainsbury-Martinez
Takahito Sakaue,Kyoto University,Sakaue
Matthias Samland,Max Planck Institute for Astronomy,Samland
Alana Sanchez,MIT,Sanchez
Ângela Santos,Space Science Institute,Santos
Joachim Saur,University of Cologne,Saur
Gail Schaefer,CHARA - Georgia State University,Schaefer
Ricardo Schiavon,Liverpool JMU,Schiavon
Sarah Jane Schmidt,Leibniz Institute for Astrophysics Potsdam AIP,Schmidt
Carl Schmidt,Boston University,Schmidt
Tobias Schmidt,Hamburg Observatory,Schmidt
Jürgen Schmitt,Hamburger Sternwarte,Schmitt
Christian Schneider,Hamburger Sternwarte,Schneider
Aleks Scholz,University of St Andrews,Scholz
Hannah Schunker,Max Planck Institute for Solar System Research,Schunker
Henriette Schwarz,UC Santa Cruz,Schwarz
Patrick Schöfer,Institute for Astrophysics Göttingen,Schöfer
